Date,Goldpreis,Gold_ETF,Dollar_Index,SP500,Oil_Price,Wochentag
2022-12-30,1823.54,169.63999938964844,103.5199966430664,3839.5,80.26000213623047,Friday
2022-12-29,1815.16,168.85000610351562,103.83999633789062,3849.280029296875,78.4000015258789,Thursday
2022-12-28,1805.875,167.91000366210938,104.45999908447266,3783.219970703125,78.95999908447266,Wednesday
2022-12-27,1812.475,168.6699981689453,104.18000030517578,3829.25,79.52999877929688,Tuesday
2022-12-23,1798.595,167.25999450683594,104.30999755859376,3844.820068359375,79.55999755859375,Friday
2022-12-22,1793.51,166.75999450683594,104.43000030517578,3822.389892578125,77.48999786376953,Thursday
2022-12-21,1814.97,168.8000030517578,104.16000366210938,3878.43994140625,78.29000091552734,Wednesday
2022-12-20,1817.25,169.0800018310547,103.97000122070312,3821.6201171875,76.08999633789062,Tuesday
2022-12-19,1787.325,166.32000732421875,104.72000122070312,3817.659912109375,75.19000244140625,Monday
2022-12-16,1793.01,166.7899932861328,104.6999969482422,3852.360107421875,74.29000091552734,Friday
2022-12-15,1776.565,165.35000610351562,104.55999755859376,3895.75,76.11000061035156,Thursday
2022-12-14,1807.715,168.10000610351562,103.7699966430664,3995.320068359375,77.27999877929688,Wednesday
2022-12-13,1809.735,168.50999450683594,103.9800033569336,4019.64990234375,75.38999938964844,Tuesday
2022-12-12,1782.045,165.67999267578125,105.12999725341795,3990.56005859375,73.16999816894531,Monday
2022-12-09,1797.625,167.05999755859375,104.80999755859376,3934.3798828125,71.0199966430664,Friday
2022-12-08,1789.275,166.47000122070312,104.7699966430664,3963.510009765625,71.45999908447266,Thursday
2022-12-07,1786.97,166.3300018310547,105.0999984741211,3933.919921875,72.01000213623047,Wednesday
2022-12-06,1770.99,164.83999633789062,105.58000183105467,3941.260009765625,74.25,Tuesday
2022-12-05,1769.67,164.38999938964844,105.29000091552734,3998.840087890625,76.93000030517578,Monday
2022-12-02,1798.065,167.25999450683594,104.5500030517578,4071.699951171875,79.9800033569336,Friday
2022-12-01,1802.325,167.83999633789062,104.7300033569336,4076.570068359375,81.22000122070312,Thursday
2022-11-30,1773.42,164.80999755859375,105.9499969482422,4080.110107421875,80.55000305175781,Wednesday
2022-11-29,1749.015,162.72999572753906,106.81999969482422,3957.6298828125,78.19999694824219,Tuesday
2022-11-28,1741.31,161.92999267578125,106.68000030517578,3963.93994140625,77.23999786376953,Monday
