Date,Goldpreis_am_Tag,Gold_ETF,Dollar_Index,SP500,Oil_Price
2025-05-14,3186.08,293.1600036621094,101.04000091552734,5892.580078125,63.150001525878906
2025-05-13,3254.46,299.4599914550781,101.0,5886.5498046875,63.66999816894531
2025-05-12,3236.87,298.19000244140625,101.79000091552734,5844.18994140625,61.95000076293945
2025-05-09,3326.97,306.8399963378906,100.33999633789062,5659.91015625,61.02000045776367
2025-05-08,3316.47,304.6300048828125,100.63999938964844,5663.93994140625,59.90999984741211
2025-05-07,3376.52,310.75,99.61000061035156,5631.27978515625,58.06999969482422
2025-05-06,3400.86,315.4800109863281,99.23999786376953,5606.91015625,59.09000015258789
2025-05-05,3334.17,306.8800048828125,99.83000183105469,5650.3798828125,57.130001068115234
2025-05-02,3241.06,297.9800109863281,100.0,5686.669921875,58.290000915527344
2025-05-01,3237.4,297.4599914550781,100.25,5604.14013671875,59.2400016784668
2025-04-30,3272.92,303.7699890136719,99.47000122070312,5569.06005859375,58.209999084472656
2025-04-29,3317.09,306.05999755859375,99.23999786376953,5560.830078125,60.41999816894531
2025-04-28,3337.74,309.07000732421875,99.01000213623047,5528.75,62.04999923706055
2025-04-25,3319.26,304.7300109863281,99.47000122070312,5525.2099609375,63.02000045776367
2025-04-24,3349.03,308.07000732421875,99.29000091552734,5484.77001953125,62.790000915527344
2025-04-23,3316.4,303.6499938964844,99.83999633789062,5375.85986328125,62.27000045776367
2025-04-22,3336.68,311.1099853515625,98.91999816894531,5287.759765625,64.30999755859375
2025-04-21,3434.67,315.5899963378906,98.27999877929688,5158.2001953125,63.08000183105469
2025-04-17,3327.62,306.1199951171875,99.37999725341797,5282.7001953125,64.68000030517578
2025-04-16,3350.21,307.4700012207031,99.37999725341797,5275.7001953125,62.470001220703125
2025-04-15,3251.87,297.7799987792969,100.22000122070312,5396.6298828125,61.33000183105469
2025-04-14,3212.68,296.2300109863281,99.63999938964844,5405.97021484375,61.529998779296875
2025-04-11,3237.71,297.92999267578125,99.77999877929688,5363.35986328125,61.5
2025-04-10,3189.06,292.3500061035156,100.87000274658203,5268.0498046875,60.06999969482422
2025-04-09,3086.91,285.3800048828125,102.9000015258789,5456.89990234375,62.349998474121094
2025-04-08,2978.37,275.20001220703125,102.95999908447266,4982.77001953125,59.58000183105469
2025-04-07,2981.35,273.7099914550781,103.26000213623047,5062.25,60.70000076293945
2025-04-04,3038.86,279.7200012207031,103.0199966430664,5074.080078125,61.9900016784668
2025-04-03,3112.97,286.4200134277344,102.06999969482422,5396.52001953125,66.94999694824219
2025-04-02,3162.74,288.1600036621094,103.80999755859375,5670.97021484375,71.70999908447266
2025-04-01,3115.3,287.57000732421875,104.26000213623047,5633.06982421875,71.19999694824219
2025-03-31,3120.69,288.1400146484375,104.20999908447266,5611.85009765625,71.4800033569336
2025-03-28,3085.37,284.05999755859375,104.04000091552734,5580.93994140625,69.36000061035156
2025-03-27,3055.79,281.9700012207031,104.06999969482422,5693.31005859375,69.91999816894531
2025-03-26,3021.78,278.239990234375,104.55000305175781,5712.2001953125,69.6500015258789
2025-03-25,3021.09,278.4700012207031,104.18000030517578,5776.64990234375,69.0
2025-03-24,3009.95,277.25,104.26000213623047,5767.56982421875,69.11000061035156
2025-03-21,3023.53,278.489990234375,104.08999633789062,5667.56005859375,68.27999877929688
2025-03-20,3046.45,280.75,103.8499984741211,5662.89013671875,68.26000213623047
2025-03-19,3050.18,281.1099853515625,103.43000030517578,5675.2900390625,67.16000366210938
2025-03-18,3031.9,279.9599914550781,103.23999786376953,5614.66015625,66.9000015258789
2025-03-17,2999.93,276.7300109863281,103.37000274658203,5675.1201171875,67.58000183105469
2025-03-14,2986.14,275.239990234375,103.72000122070312,5638.93994140625,67.18000030517578
2025-03-13,2986.59,275.1300048828125,103.83000183105469,5521.52001953125,66.55000305175781
