,1. open,2. high,3. low,4. close,5. volume
2025-03-18,2999.87,3038.34,2999.52,3031.9,0.0
2025-03-17,2990.17,3002.86,2982.29,2999.93,0.0
2025-03-16,2985.08,2994.16,2983.23,2990.12,0.0
2025-03-14,2986.57,3004.94,2978.53,2986.14,0.0
2025-03-13,2938.19,2989.95,2933.05,2986.59,0.0
2025-03-12,2915.6,2940.65,2906.07,2938.18,0.0
2025-03-11,2884.78,2922.27,2880.4,2915.59,0.0
2025-03-10,2916.35,2918.34,2880.3,2884.77,0.0
2025-03-09,2911.21,2917.06,2909.81,2916.36,0.0
2025-03-07,2910.41,2930.47,2896.8,2911.24,0.0
2025-03-06,2918.31,2926.64,2891.26,2910.4,0.0
2025-03-05,2914.51,2929.98,2893.99,2918.32,0.0
2025-03-04,2890.97,2927.87,2882.03,2914.49,0.0
2025-03-03,2870.87,2895.33,2858.89,2891.03,0.0
2025-03-02,2856.7,2877.02,2855.62,2870.86,0.0
2025-02-28,2876.07,2885.1,2832.7,2858.28,0.0
2025-02-27,2919.29,2919.29,2867.76,2876.06,0.0
2025-02-26,2918.72,2930.21,2890.85,2919.3,0.0
2025-02-25,2950.14,2952.66,2888.32,2918.71,0.0
2025-02-24,2937.03,2956.34,2921.42,2950.08,0.0
2025-02-23,2935.48,2940.65,2934.28,2937.01,0.0
2025-02-21,2941.71,2949.8,2916.77,2936.51,0.0
2025-02-20,2935.63,2954.96,2924.23,2941.68,0.0
2025-02-19,2934.0,2947.08,2918.66,2935.52,0.0
2025-02-18,2899.35,2937.05,2892.11,2934.03,0.0
2025-02-17,2879.45,2906.53,2879.45,2899.34,0.0
2025-02-16,2886.85,2894.09,2878.79,2879.44,0.0
2025-02-14,2931.23,2940.03,2877.03,2882.82,0.0
2025-02-13,2905.39,2932.47,2901.53,2931.25,0.0
2025-02-12,2898.67,2909.22,2865.91,2906.14,0.0
2025-02-11,2917.87,2942.74,2881.81,2898.63,0.0
2025-02-10,2867.71,2921.72,2865.87,2917.86,0.0
2025-02-09,2860.58,2870.53,2856.64,2867.69,0.0
2025-02-07,2858.12,2886.84,2852.51,2861.03,0.0
2025-02-06,2869.29,2873.38,2834.24,2858.13,0.0
2025-02-05,2841.55,2882.41,2839.77,2869.28,0.0
2025-02-04,2813.88,2845.43,2807.28,2841.27,0.0
2025-02-03,2793.8,2830.7,2772.26,2813.9,0.0
2025-02-02,2801.12,2804.61,2785.34,2793.81,0.0
