Datum,Prognose
2025-06-06,3396.616635581406
2025-06-09,3387.128125409205
2025-06-10,3367.0835135238253
2025-06-11,3345.4339851667814
2025-06-12,3353.50383338726
2025-06-13,3364.51825654465
