,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1835.87,1836.41,1842.185,1826.86,1824.255,1788.55,1778.25,1771.82,1783.98,1810.595,1805.98,1803.115,1770.105,1734.365,1725.105,1736.56,1710.595,1694.52,1700.57,1684.655
1,1836.41,1842.185,1826.86,1824.255,1788.55,1778.25,1771.82,1783.98,1810.595,1805.98,1803.115,1770.105,1734.365,1725.105,1736.56,1710.595,1694.52,1700.57,1684.655,1715.925
2,1842.185,1826.86,1824.255,1788.55,1778.25,1771.82,1783.98,1810.595,1805.98,1803.115,1770.105,1734.365,1725.105,1736.56,1710.595,1694.52,1700.57,1684.655,1715.925,1726.885
3,1826.86,1824.255,1788.55,1778.25,1771.82,1783.98,1810.595,1805.98,1803.115,1770.105,1734.365,1725.105,1736.56,1710.595,1694.52,1700.57,1684.655,1715.925,1726.885,1722.875
4,1824.255,1788.55,1778.25,1771.82,1783.98,1810.595,1805.98,1803.115,1770.105,1734.365,1725.105,1736.56,1710.595,1694.52,1700.57,1684.655,1715.925,1726.885,1722.875,1726.825
5,1788.55,1778.25,1771.82,1783.98,1810.595,1805.98,1803.115,1770.105,1734.365,1725.105,1736.56,1710.595,1694.52,1700.57,1684.655,1715.925,1726.885,1722.875,1726.825,1730.74
6,1778.25,1771.82,1783.98,1810.595,1805.98,1803.115,1770.105,1734.365,1725.105,1736.56,1710.595,1694.52,1700.57,1684.655,1715.925,1726.885,1722.875,1726.825,1730.74,1731.76
7,1771.82,1783.98,1810.595,1805.98,1803.115,1770.105,1734.365,1725.105,1736.56,1710.595,1694.52,1700.57,1684.655,1715.925,1726.885,1722.875,1726.825,1730.74,1731.76,1748.475
8,1783.98,1810.595,1805.98,1803.115,1770.105,1734.365,1725.105,1736.56,1710.595,1694.52,1700.57,1684.655,1715.925,1726.885,1722.875,1726.825,1730.74,1731.76,1748.475,1733.24
9,1810.595,1805.98,1803.115,1770.105,1734.365,1725.105,1736.56,1710.595,1694.52,1700.57,1684.655,1715.925,1726.885,1722.875,1726.825,1730.74,1731.76,1748.475,1733.24,1744.995
10,1805.98,1803.115,1770.105,1734.365,1725.105,1736.56,1710.595,1694.52,1700.57,1684.655,1715.925,1726.885,1722.875,1726.825,1730.74,1731.76,1748.475,1733.24,1744.995,1739.45
11,1803.115,1770.105,1734.365,1725.105,1736.56,1710.595,1694.52,1700.57,1684.655,1715.925,1726.885,1722.875,1726.825,1730.74,1731.76,1748.475,1733.24,1744.995,1739.45,1727.11
12,1770.105,1734.365,1725.105,1736.56,1710.595,1694.52,1700.57,1684.655,1715.925,1726.885,1722.875,1726.825,1730.74,1731.76,1748.475,1733.24,1744.995,1739.45,1727.11,1734.66
13,1734.365,1725.105,1736.56,1710.595,1694.52,1700.57,1684.655,1715.925,1726.885,1722.875,1726.825,1730.74,1731.76,1748.475,1733.24,1744.995,1739.45,1727.11,1734.66,1727.395
14,1725.105,1736.56,1710.595,1694.52,1700.57,1684.655,1715.925,1726.885,1722.875,1726.825,1730.74,1731.76,1748.475,1733.24,1744.995,1739.45,1727.11,1734.66,1727.395,1733.81
15,1736.56,1710.595,1694.52,1700.57,1684.655,1715.925,1726.885,1722.875,1726.825,1730.74,1731.76,1748.475,1733.24,1744.995,1739.45,1727.11,1734.66,1727.395,1733.81,1712.05
16,1710.595,1694.52,1700.57,1684.655,1715.925,1726.885,1722.875,1726.825,1730.74,1731.76,1748.475,1733.24,1744.995,1739.45,1727.11,1734.66,1727.395,1733.81,1712.05,1685.6
17,1694.52,1700.57,1684.655,1715.925,1726.885,1722.875,1726.825,1730.74,1731.76,1748.475,1733.24,1744.995,1739.45,1727.11,1734.66,1727.395,1733.81,1712.05,1685.6,1707.59
